Date,restingHeartRate,lastSevenDaysAvgRestingHeartRate,totalSteps
2024-06-07,69.0,69.0,4972.0
2024-06-08,74.0,70.0,13968.0
2024-06-09,74.0,71.0,8426.0
2024-06-10,70.0,72.0,18794.0
2024-06-11,69.0,71.0,16440.0
2024-06-12,71.0,71.0,6084.0
2024-06-13,71.0,71.0,9708.0
2024-06-14,72.0,72.0,6204.0
2024-06-15,75.0,72.0,18990.0
2024-06-16,75.0,72.0,6010.0
2024-06-17,76.0,73.0,2046.0
2024-06-18,75.0,74.0,3484.0
2024-06-19,80.0,75.0,4810.0
2024-06-20,76.0,76.0,8542.0
2024-06-21,74.0,76.0,33378.0
2024-06-22,77.0,76.0,40372.0
2024-06-23,69.0,75.0,23848.0
2024-06-24,70.0,74.0,16920.0
2024-06-25,71.0,74.0,2354.0
2024-06-26,75.0,73.0,15832.0
2024-06-27,72.0,0.0,3572.0
2024-06-28,72.0,0.0,5408.0
2024-06-29,72.0,0.0,14958.0
2024-06-30,76.0,73.0,4884.0
2024-07-01,71.0,73.0,3928.0
2024-07-02,71.0,73.0,4964.0
2024-07-03,75.0,73.0,19172.0
2024-07-04,77.0,74.0,10882.0
2024-07-05,70.0,73.0,18548.0
2024-07-06,75.0,74.0,17830.0
2024-07-07,68.0,72.0,6996.0
2024-07-08,74.0,73.0,4790.0
2024-07-09,73.0,73.0,15798.0
2024-07-10,71.0,73.0,16418.0
2024-07-11,72.0,72.0,17938.0
2024-07-12,74.0,72.0,16426.0
2024-07-13,67.0,71.0,10430.0
2024-07-14,75.0,72.0,37952.0
2024-07-15,72.0,0.0,3958.0
2024-07-16,72.0,0.0,3776.0
2024-07-17,72.0,0.0,15460.0
2024-07-18,72.0,0.0,14740.0
2024-07-19,72.0,0.0,4770.0
2024-07-20,72.0,0.0,4880.0
2024-07-21,72.0,0.0,5738.0
2024-07-22,72.0,0.0,14938.0
2024-07-23,72.0,0.0,4256.0
2024-07-24,72.0,0.0,15752.0
2024-07-25,72.0,0.0,3984.0
2024-07-26,91.0,91.0,15934.0
2024-07-27,77.0,84.0,3128.0
2024-07-28,68.0,79.0,4492.0
2024-07-29,74.0,78.0,15854.0
2024-07-30,73.0,77.0,8568.0
2024-07-31,75.0,76.0,5492.0
2024-08-01,72.0,76.0,17958.0
2024-08-02,73.0,73.0,16136.0
2024-08-03,77.0,73.0,18080.0
2024-08-04,75.0,74.0,20670.0
2024-08-05,71.0,74.0,3714.0
2024-08-06,70.0,73.0,15638.0
2024-08-07,72.0,73.0,18156.0
2024-08-08,72.0,0.0,15686.0
2024-08-09,72.0,0.0,5952.0
2024-08-10,72.0,0.0,5554.0
2024-08-11,72.0,0.0,10186.0
2024-08-12,72.0,0.0,5696.0
2024-08-13,72.0,0.0,4530.0
2024-08-14,72.0,0.0,4800.0
2024-08-15,72.0,0.0,5848.0
2024-08-16,72.0,0.0,18044.0
2024-08-17,72.0,0.0,6430.0
2024-08-18,72.0,0.0,6296.0
2024-08-19,72.0,0.0,4134.0
2024-08-20,72.0,0.0,4686.0
2024-08-21,72.0,0.0,6678.0
2024-08-22,72.0,0.0,6734.0
2024-08-23,72.0,0.0,5084.0
2024-08-24,72.0,0.0,7300.0
2024-08-25,72.0,0.0,5880.0
2024-08-26,72.0,0.0,4250.0
2024-08-27,72.0,0.0,3768.0
2024-08-28,72.0,0.0,4104.0
2024-08-29,72.0,0.0,3842.0
2024-08-30,72.0,0.0,6016.0
2024-08-31,72.0,0.0,4710.0
2024-09-01,72.0,0.0,7286.0
2024-09-02,72.0,0.0,4706.0
2024-09-03,72.0,0.0,12750.0
2024-09-04,72.0,0.0,2860.0
2024-09-05,72.0,0.0,6914.0
2024-09-06,72.0,0.0,3838.0
2024-09-07,72.0,0.0,7516.0
2024-09-08,72.0,0.0,6124.0
2024-09-09,72.0,0.0,4086.0
2024-09-10,72.0,0.0,4530.0
2024-09-11,72.0,0.0,6692.0
2024-09-12,72.0,0.0,7444.0
2024-09-13,72.0,0.0,14394.0
2024-09-14,94.0,94.0,17102.0
2024-09-15,81.0,88.0,19100.0
2024-09-16,84.0,85.0,23320.0
2024-09-17,67.0,81.0,4844.0
2024-09-18,65.0,79.0,18854.0
2024-09-19,66.0,77.0,5754.0
2024-09-20,68.0,73.0,16606.0
2024-09-21,72.0,72.0,7172.0
2024-09-22,72.0,71.0,4678.0
2024-09-23,69.0,68.0,15982.0
2024-09-24,70.0,69.0,16514.0
2024-09-25,72.0,70.0,15214.0
2024-09-26,72.0,0.0,17246.0
2024-09-27,72.0,0.0,5042.0
2024-09-28,72.0,0.0,10144.0
2024-09-29,72.0,0.0,14504.0
2024-09-30,72.0,0.0,15956.0
2024-10-01,72.0,0.0,15896.0
2024-10-02,72.0,0.0,17924.0
2024-10-03,72.0,0.0,17456.0
2024-10-04,72.0,0.0,16170.0
2024-10-05,72.0,0.0,9564.0
2024-10-06,72.0,0.0,19634.0
2024-10-07,76.0,76.0,10974.0
2024-10-08,70.0,73.0,16240.0
2024-10-09,69.0,72.0,17582.0
2024-10-10,71.0,72.0,15128.0
2024-10-11,68.0,71.0,23008.0
2024-10-12,75.0,72.0,6566.0
2024-10-13,66.0,71.0,7856.0
2024-10-14,65.0,69.0,16682.0
2024-10-15,69.0,69.0,10434.0
2024-10-16,65.0,68.0,12530.0
2024-10-17,66.0,68.0,4124.0
