,restingHeartRate,totalSteps,total_intensity_minutes,sleepTimeSeconds,awakeSleepSeconds,avgSleepStress
restingHeartRate,1.0,0.04850109731203616,-0.008008620653645398,-0.18296301307174456,0.10976943667054827,0.5203177512240122
totalSteps,0.04850109731203616,1.0,0.6136513433387785,-0.033130729123636384,-0.04691160701488538,-0.04340035206260252
total_intensity_minutes,-0.008008620653645398,0.6136513433387785,1.0,-0.004901992038758287,-0.04322624444628328,-0.08928557378209993
sleepTimeSeconds,-0.18296301307174456,-0.033130729123636384,-0.004901992038758287,1.0,0.0786564569881383,-0.34234173050871247
awakeSleepSeconds,0.10976943667054827,-0.04691160701488538,-0.04322624444628328,0.0786564569881383,1.0,0.18859066121122173
avgSleepStress,0.5203177512240122,-0.04340035206260252,-0.08928557378209993,-0.34234173050871247,0.18859066121122173,1.0
