Date,restingHeartRate,totalSteps,total_intensity_minutes,sleepTimeSeconds,awakeSleepSeconds
2024-01-07,72.8,87776.0,180.0,28780.0,364.0
2024-01-14,71.0,75466.0,192.0,28920.0,420.0
2024-01-21,68.42857142857143,54818.0,128.0,28097.14285714286,471.42857142857144
2024-01-28,73.14285714285714,78134.0,222.0,30364.85714285714,540.0
2024-02-04,74.14285714285714,101984.0,84.0,29794.285714285714,814.2857142857143
2024-02-11,71.14285714285714,66470.0,164.0,31960.285714285714,2280.0
2024-02-18,75.14285714285714,62206.0,282.0,27082.0,1645.7142857142858
2024-02-25,76.25,151808.0,634.0,30360.0,322.5
2024-03-03,76.57142857142857,115724.0,642.0,28825.714285714286,651.4285714285714
2024-03-10,71.85714285714286,108820.0,114.0,30022.714285714286,977.1428571428571
2024-03-17,70.42857142857143,140092.0,350.0,31662.428571428572,942.8571428571429
2024-03-24,73.14285714285714,91488.0,208.0,28945.714285714286,1294.2857142857142
2024-03-31,75.28571428571429,73772.0,40.0,27843.0,617.1428571428571
2024-04-07,74.28571428571429,112910.0,372.0,29340.0,942.8571428571429
2024-04-14,73.0,42136.0,0.0,30908.571428571428,1851.4285714285713
2024-04-21,73.71428571428571,56888.0,288.0,30514.285714285714,1517.142857142857
2024-04-28,72.85714285714286,126510.0,584.0,29031.428571428572,1337.142857142857
2024-05-05,71.0,108628.0,446.0,28965.0,997.5
2024-05-12,70.57142857142857,54172.0,0.0,28285.714285714286,968.5714285714286
2024-05-19,71.14285714285714,87268.0,0.0,27951.428571428572,197.14285714285714
2024-05-26,74.0,111842.0,1120.0,26262.85714285714,685.7142857142857
2024-06-02,73.57142857142857,134202.0,568.0,29742.714285714286,900.0
2024-06-09,70.85714285714286,54534.0,78.0,28294.285714285714,780.0
2024-06-16,71.85714285714286,82230.0,268.0,28731.428571428572,462.85714285714283
2024-06-23,75.28571428571429,116480.0,0.0,28397.14285714286,360.0
2024-06-30,72.57142857142857,63928.0,470.0,29005.714285714286,471.42857142857144
2024-07-07,72.42857142857143,82320.0,526.0,28838.428571428572,411.42857142857144
2024-07-14,72.625,119752.0,444.0,28080.0,322.5
2024-07-21,72.0,53322.0,194.0,26871.428571428572,471.42857142857144
2024-07-28,74.85714285714286,62484.0,236.0,27384.14285714286,780.0
2024-08-04,74.14285714285714,102758.0,564.0,26318.85714285714,437.14285714285717
2024-08-11,71.57142857142857,74886.0,176.0,27651.428571428572,480.0
2024-08-18,72.0,51644.0,84.0,27765.714285714286,625.7142857142857
2024-08-25,72.0,40496.0,0.0,28002.85714285714,771.4285714285714
2024-09-01,72.0,33976.0,0.0,30343.0,437.14285714285717
2024-09-08,72.0,44708.0,0.0,29417.14285714286,1140.0
2024-09-15,76.42857142857143,73348.0,0.0,27977.14285714286,831.4285714285714
2024-09-22,70.57142857142857,81228.0,174.0,29082.85714285714,788.5714285714286
2024-09-29,71.28571428571429,94646.0,454.0,29782.571428571428,1431.4285714285713
2024-10-06,72.0,112600.0,530.0,29655.0,960.0
