,restingHeartRate,totalSteps,total_intensity_minutes,sleepTimeSeconds,awakeSleepSeconds,avgSleepStress
restingHeartRate,1.0,0.050565068854846386,-0.007077769890753829,-0.18371776715581317,0.10959033106636148,0.5213013588409349
totalSteps,0.050565068854846386,1.0,0.6134895457080212,-0.03314795682962901,-0.04792626010325552,-0.04354822341318291
total_intensity_minutes,-0.007077769890753829,0.6134895457080212,1.0,-0.0048562837988951795,-0.04353539694896371,-0.08937221395164563
sleepTimeSeconds,-0.18371776715581317,-0.03314795682962901,-0.0048562837988951795,1.0,0.07877817626194404,-0.3423259441976243
awakeSleepSeconds,0.10959033106636148,-0.04792626010325552,-0.04353539694896371,0.07877817626194404,1.0,0.1884879254892969
avgSleepStress,0.5213013588409349,-0.04354822341318291,-0.08937221395164563,-0.3423259441976243,0.1884879254892969,1.0
