cluster,totalSteps,restingHeartRate,sleepTimeSeconds,awakeSleepSeconds,avgSleepStress
0,4382.329032258064,75.63870967741936,26660.81935483871,700.258064516129,37.16451612903226
1,3073.6825396825398,71.16666666666667,30669.007936507936,509.2857142857143,21.41468253968254
2,4338.096,73.024,30957.584,2865.12,26.76
3,10637.672268907563,71.89075630252101,29581.51260504202,544.0336134453781,21.66386554621849
