typeKey_clean,total_duration_hours,total_distance_km,total_calories,average_speed_kmh,record_count
walking,108.74733150906033,588.1160009765625,38426.0,0.21128697318264833,1021
running,46.916837497287325,386.7901845703125,28800.0,2.286413784684806,58
golf,226.08348775227864,670.2559230957031,68806.0,0.8328571426016944,56
treadmill_running,6.7819655354817705,11.12830014705658,2880.0,0.494777786015119,18
multi_sport,5.498412832419078,35.10704007911682,2454.0,1.774784959218261,8
strength_training,4.105444539388021,0.0,1218.0,0.0,8
hiking,4.872032877604167,18.5362802734375,1502.0,1.063999980688095,4
indoor_cycling,1.2130789184570312,0.0,600.0,0.0,4
